fid,yerr
0.9997693060880147,0.0050088131168017505
0.945076833707926,0.004431620724505741
0.8966270673984493,0.00403060583432864
0.8541614851247378,0.0034520457174588488
0.8153540964314434,0.0030912112816761806
0.9997689830141699,0.004393631660196312
0.9453478235366444,0.0037205381087312426
0.896568687984194,0.003425441723271812
0.8537161992188071,0.003096424710701678
0.815372731964749,0.002759479578703469
0.9997688321258017,0.0035575184339787075
0.9452658797830583,0.003191211329511478
0.8968019386567279,0.002700784995286647
0.8537850205090827,0.0024971308616727303
0.8156611786798141,0.002210080813505907
0.999768894666694,0.004327258983095362
0.9454069567406156,0.0038582421452437207
0.896533736461838,0.003425036745089506
0.8539019437077119,0.0030853200325020526
0.8153179897431937,0.0027045083632815784
